"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.1uF","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm",""
"2","D1, D2","2","1N4148","Diode_THT:D_T-1_P5.08mm_Horizontal",""
"3","J1, J2","2","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","J3, J4","2","Conn_01x20_Socket","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical",""
"5","J5","1","MIDI_IN","",""
"6","J6","1","MIDI_OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"7","J7","1","Conn_01x012_Pin","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical",""
"8","R1, R2, R5, R6, R11, R12, R13, R14, R15, R16, R17, R18","12","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"9","R3, R4","2","5.1K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"10","R7, R8","2","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"11","R9, R10","2","2k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"12","U1, U2","2","6N138","Package_DIP:DIP-8_W7.62mm_Socket",""
"13","U3","1","40106","Package_DIP:DIP-14_W7.62mm_Socket",""
